Date_reported,Country,WHO_region,Cumulative_cases,Population,Cases per Capita
2020-01-12,Zimbabwe,AFRO,0,15331428.0,0.0170633811801483
2020-01-12,Paraguay,AMRO,0,7305843.0,0.110357695888072
2020-01-12,South Sudan,AFRO,0,11618511.0,0.0015809254731522
2020-01-12,Malawi,AFRO,0,20180839.0,0.0043882714687927
2020-01-12,Peru,AMRO,0,33684208.0,0.13304813341611
2020-01-12,Costa Rica,AMRO,0,5182354.0,0.2288874901251439
2020-01-12,Gambia,AFRO,0,2558482.0,0.0049193232549613
2020-01-12,Andorra,EURO,0,77463.0,0.6175722603049197
2020-01-12,Madagascar,AFRO,0,29178077.0,0.0023245877375674
2020-01-12,Uganda,AFRO,0,48432863.0,0.0035182722937522
2020-01-12,Serbia,EURO,0,8653016.0,0.2855880539224705
2020-01-12,Philippines,WPRO,0,112508994.0,0.0362055854841258
2020-01-12,South Africa,AFRO,0,60756135.0,0.0667581306809592
2020-01-12,Aruba,AMRO,0,107609.0,0.4088226821176667
2020-01-12,Luxembourg,EURO,0,642371.0,0.4635280857946576
2020-01-12,Germany,EURO,1,83883596.0,0.4503840417141869
2020-01-12,Burundi,AFRO,0,12624840.0,0.0042370437961986
2020-01-12,Greenland,EURO,0,56973.0,0.2101170729994909
2020-01-12,Tonga,WPRO,0,107749.0,0.1553053856648321
2020-01-12,Kuwait,EMRO,0,4380326.0,0.1513261798322773
2020-01-12,Slovenia,EURO,0,2078034.0,0.6361070126860292
2020-01-12,Bahamas,AMRO,0,400516.0,0.0936067472959881
2020-01-12,San Marino,EURO,0,34085.0,0.6873111339298812
2020-01-12,Ireland,EURO,0,5020199.0,0.3386823908773337
2020-01-12,Colombia,AMRO,0,51512762.0,0.1233928982491756
2020-01-12,Guyana,AMRO,0,794045.0,0.0918713674917668
2020-01-12,Sao Tome and Principe,AFRO,0,227679.0,0.0275826931776755
2020-01-12,Sierra Leone,AFRO,0,8306436.0,0.000934215348195
2020-01-12,Austria,EURO,0,9066710.0,0.6375222103717887
2020-01-12,Iraq,EMRO,0,42164965.0,0.0584737826771586
2020-01-12,Haiti,AMRO,0,11680283.0,0.0029173950665407
2020-01-12,Saudi Arabia,EMRO,0,35844909.0,0.0230984545113505
